factor,valid_samples,corr_max20,corr_min20,top_quartile_samples,top_quartile_tradeable_rate,bottom_quartile_tradeable_rate,top_minus_bottom
issue_heat_score,242,0.2966540841611955,0.33744091003073245,70,0.7285714285714285,0.3968253968253968,0.33174603174603173
allocation_quality_score,242,-0.024782370144220887,3.121702802920019e-05,72,0.5138888888888888,0.45588235294117646,0.05800653594771238
cornerstone_bank_score,242,-0.05124162897534629,0.1112166207096876,61,0.5901639344262295,0.5,0.0901639344262295
pricing_safety_score,242,-0.10549494334803453,-0.09671404434470807,63,0.4444444444444444,0.5833333333333334,-0.13888888888888895
gray_signal_score,242,0.5943695436385038,0.6925330902677087,70,0.9857142857142858,0.14516129032258066,0.8405529953917051
post_listing_score,242,0.6796404322075995,0.7452629250167833,62,1.0,0.0,1.0
a1_maturity_score,242,0.23709276383280237,0.286059039600349,74,0.6486486486486487,0.48717948717948717,0.16146916146916152
data_quality_score,242,-0.0013063988874248316,0.10363114954040288,75,0.5333333333333333,0.5688622754491018,-0.035528942115768514
risk_penalty_score,242,-0.12947849480065773,-0.17646093789030143,68,0.14705882352941177,0.6764705882352942,-0.5294117647058824
